Generations,Fitness,PercentageError,ones_counter,
0,54,30,29
1,62,28.35,31
2,67,29.4,32
3,69,28.15,34
4,73,28.6,35
5,77,28.3,36
6,76,28.4,37
7,79,28,38
8,81,27.5,39
9,86,25.9,40
10,89,23.25,41
11,90,21.6,43
12,96,25.55,44
13,100,26.35,45
14,103,27.9,46
15,103,25.55,47
16,107,27.35,49
17,108,27.65,50
18,115,27.8,51
19,116,27,52
20,116,26.85,53
21,120,27,54
22,123,22,55
23,127,26.55,56
24,124,26.85,57
25,134,24.75,60
26,132,24.35,61
27,140,25.15,62
28,139,24.95,63
29,143,24.6,64
30,146,24.05,66
31,149,24.5,68
32,156,23.45,68
33,160,22.5,71
34,165,23.55,72
35,166,23.9,73
36,170,23.05,74
37,174,20.45,76
38,173,19.9,77
39,176,21.25,79
40,178,19.6,80
41,187,20.85,81
42,190,21.3,84
43,195,21.9,84
44,198,21.05,86
45,198,18.05,88
46,200,16.35,89
47,205,16.55,89
48,209,17.35,91
49,211,18.25,91
50,214,15.05,95
51,217,17,96
52,220,16.8,97
53,223,16.7,98
54,226,16.55,99
